round,player_name,position,card,player_id,timestamp
3,Rita,NORTH,31,9666a52b,1776952753.4874463
3,Serana,WEST,33,21a1c6c8,1776952753.4874463
3,Ava,SOUTH,35,25102457,1776952753.564805
3,Alyssa,EAST,32,8d3094de,1776952753.564805
3,Rita,NORTH,31,9666a52b,1776952753.564805
3,Serana,WEST,33,21a1c6c8,1776952753.564805
3,Ava,SOUTH,35,25102457,1776952753.6453161
3,Alyssa,EAST,32,8d3094de,1776952753.6453161
3,Rita,NORTH,31,9666a52b,1776952753.6453161
3,Serana,WEST,33,21a1c6c8,1776952753.6453161
3,Ava,SOUTH,35,25102457,1776952753.7215555
3,Alyssa,EAST,32,8d3094de,1776952753.7215555
3,Rita,NORTH,31,9666a52b,1776952753.7215555
3,Serana,WEST,33,21a1c6c8,1776952753.7215555
3,Ava,SOUTH,35,25102457,1776952753.7960773
3,Alyssa,EAST,32,8d3094de,1776952753.7960773
3,Rita,NORTH,31,9666a52b,1776952753.7960773
3,Serana,WEST,33,21a1c6c8,1776952753.7960773
3,Ava,SOUTH,35,25102457,1776952753.8777077
3,Alyssa,EAST,32,8d3094de,1776952753.8777077
3,Rita,NORTH,31,9666a52b,1776952753.8777077
3,Serana,WEST,33,21a1c6c8,1776952753.8777077
3,Ava,SOUTH,35,25102457,1776952753.956048
3,Alyssa,EAST,32,8d3094de,1776952753.956048
3,Rita,NORTH,31,9666a52b,1776952753.956048
3,Serana,WEST,33,21a1c6c8,1776952753.956048
3,Ava,SOUTH,35,25102457,1776952754.0296516
3,Alyssa,EAST,32,8d3094de,1776952754.0296516
3,Rita,NORTH,31,9666a52b,1776952754.0296516
3,Serana,WEST,33,21a1c6c8,1776952754.0296516
3,Ava,SOUTH,35,25102457,1776952754.1076667
3,Alyssa,EAST,32,8d3094de,1776952754.1076667
3,Rita,NORTH,31,9666a52b,1776952754.1076667
3,Serana,WEST,33,21a1c6c8,1776952754.1076667
3,Ava,SOUTH,35,25102457,1776952754.1852484
3,Alyssa,EAST,32,8d3094de,1776952754.1852484
3,Rita,NORTH,31,9666a52b,1776952754.1852484
3,Serana,WEST,33,21a1c6c8,1776952754.1852484
3,Ava,SOUTH,35,25102457,1776952754.259173
3,Alyssa,EAST,32,8d3094de,1776952754.259173
3,Rita,NORTH,31,9666a52b,1776952754.259173
3,Serana,WEST,33,21a1c6c8,1776952754.259173
3,Ava,SOUTH,35,25102457,1776952754.3410099
3,Alyssa,EAST,32,8d3094de,1776952754.3410099
3,Rita,NORTH,31,9666a52b,1776952754.3410099
3,Serana,WEST,33,21a1c6c8,1776952754.3410099
4,Ava,SOUTH,16,25102457,1776952754.5089302
4,Ava,SOUTH,16,25102457,1776952754.5854871
4,Alyssa,EAST,15,8d3094de,1776952754.5854871
4,Rita,NORTH,11,9666a52b,1776952754.5854871
4,Ava,SOUTH,16,25102457,1776952754.6621325
4,Alyssa,EAST,15,8d3094de,1776952754.6621325
4,Rita,NORTH,11,9666a52b,1776952754.6621325
4,Serana,WEST,18,21a1c6c8,1776952754.6621325
4,Ava,SOUTH,16,25102457,1776952754.7424555
4,Alyssa,EAST,15,8d3094de,1776952754.7424555
4,Rita,NORTH,11,9666a52b,1776952754.7424555
4,Serana,WEST,18,21a1c6c8,1776952754.7424555
4,Ava,SOUTH,16,25102457,1776952754.8269134
4,Alyssa,EAST,15,8d3094de,1776952754.8269134
4,Rita,NORTH,11,9666a52b,1776952754.8269134
4,Serana,WEST,18,21a1c6c8,1776952754.8269134
4,Ava,SOUTH,16,25102457,1776952754.9070385
4,Alyssa,EAST,15,8d3094de,1776952754.9070385
4,Rita,NORTH,11,9666a52b,1776952754.9070385
4,Serana,WEST,18,21a1c6c8,1776952754.9070385
4,Ava,SOUTH,16,25102457,1776952754.99067
4,Alyssa,EAST,15,8d3094de,1776952754.99067
4,Rita,NORTH,11,9666a52b,1776952754.99067
4,Serana,WEST,18,21a1c6c8,1776952754.99067
4,Ava,SOUTH,16,25102457,1776952755.070327
4,Alyssa,EAST,15,8d3094de,1776952755.070327
4,Rita,NORTH,11,9666a52b,1776952755.070327
4,Serana,WEST,18,21a1c6c8,1776952755.070327
4,Ava,SOUTH,16,25102457,1776952755.1560893
4,Alyssa,EAST,15,8d3094de,1776952755.1560893
4,Rita,NORTH,11,9666a52b,1776952755.1560893
4,Serana,WEST,18,21a1c6c8,1776952755.1560893
4,Ava,SOUTH,16,25102457,1776952755.2431533
4,Alyssa,EAST,15,8d3094de,1776952755.2431533
4,Rita,NORTH,11,9666a52b,1776952755.2431533
4,Serana,WEST,18,21a1c6c8,1776952755.2431533
4,Ava,SOUTH,16,25102457,1776952755.3168344
4,Alyssa,EAST,15,8d3094de,1776952755.3168344
4,Rita,NORTH,11,9666a52b,1776952755.3168344
4,Serana,WEST,18,21a1c6c8,1776952755.3168344
4,Ava,SOUTH,16,25102457,1776952755.390555
4,Alyssa,EAST,15,8d3094de,1776952755.390555
4,Rita,NORTH,11,9666a52b,1776952755.390555
4,Serana,WEST,18,21a1c6c8,1776952755.390555
4,Ava,SOUTH,16,25102457,1776952755.4654644
4,Alyssa,EAST,15,8d3094de,1776952755.4654644
4,Rita,NORTH,11,9666a52b,1776952755.4654644
4,Serana,WEST,18,21a1c6c8,1776952755.4654644
4,Ava,SOUTH,16,25102457,1776952755.5441968
4,Alyssa,EAST,15,8d3094de,1776952755.5441968
4,Rita,NORTH,11,9666a52b,1776952755.5441968
4,Serana,WEST,18,21a1c6c8,1776952755.5441968
4,Ava,SOUTH,16,25102457,1776952755.6213467
4,Alyssa,EAST,15,8d3094de,1776952755.6213467
4,Rita,NORTH,11,9666a52b,1776952755.6213467
4,Serana,WEST,18,21a1c6c8,1776952755.6213467
4,Ava,SOUTH,16,25102457,1776952755.6963775
4,Alyssa,EAST,15,8d3094de,1776952755.6963775
4,Rita,NORTH,11,9666a52b,1776952755.6963775
4,Serana,WEST,18,21a1c6c8,1776952755.6963775
4,Ava,SOUTH,16,25102457,1776952755.774285
4,Alyssa,EAST,15,8d3094de,1776952755.774285
4,Rita,NORTH,11,9666a52b,1776952755.774285
4,Serana,WEST,18,21a1c6c8,1776952755.774285
4,Ava,SOUTH,16,25102457,1776952755.848723
4,Alyssa,EAST,15,8d3094de,1776952755.848723
4,Rita,NORTH,11,9666a52b,1776952755.848723
4,Serana,WEST,18,21a1c6c8,1776952755.848723
4,Ava,SOUTH,16,25102457,1776952755.9235795
4,Alyssa,EAST,15,8d3094de,1776952755.9235795
4,Rita,NORTH,11,9666a52b,1776952755.9235795
4,Serana,WEST,18,21a1c6c8,1776952755.9235795
4,Ava,SOUTH,16,25102457,1776952755.9974568
4,Alyssa,EAST,15,8d3094de,1776952755.9974568
4,Rita,NORTH,11,9666a52b,1776952755.9974568
4,Serana,WEST,18,21a1c6c8,1776952755.9974568
4,Ava,SOUTH,16,25102457,1776952756.0716865
4,Alyssa,EAST,15,8d3094de,1776952756.0716865
4,Rita,NORTH,11,9666a52b,1776952756.0716865
4,Serana,WEST,18,21a1c6c8,1776952756.0716865
4,Ava,SOUTH,16,25102457,1776952756.1489794
4,Alyssa,EAST,15,8d3094de,1776952756.1489794
4,Rita,NORTH,11,9666a52b,1776952756.1489794
4,Serana,WEST,18,21a1c6c8,1776952756.1489794
4,Ava,SOUTH,16,25102457,1776952756.2241342
4,Alyssa,EAST,15,8d3094de,1776952756.2241342
4,Rita,NORTH,11,9666a52b,1776952756.2241342
4,Serana,WEST,18,21a1c6c8,1776952756.2241342
4,Ava,SOUTH,16,25102457,1776952756.3044934
4,Alyssa,EAST,15,8d3094de,1776952756.3044934
4,Rita,NORTH,11,9666a52b,1776952756.3044934
4,Serana,WEST,18,21a1c6c8,1776952756.3044934
5,Serana,WEST,24,21a1c6c8,1776952756.4888868
5,Serana,WEST,24,21a1c6c8,1776952756.5725212
5,Ava,SOUTH,20,25102457,1776952756.5725212
5,Alyssa,EAST,23,8d3094de,1776952756.5725212
5,Serana,WEST,24,21a1c6c8,1776952756.6506722
5,Ava,SOUTH,20,25102457,1776952756.6506722
5,Alyssa,EAST,23,8d3094de,1776952756.6506722
5,Rita,NORTH,26,9666a52b,1776952756.6506722
5,Serana,WEST,24,21a1c6c8,1776952756.7263532
5,Ava,SOUTH,20,25102457,1776952756.7263532
5,Alyssa,EAST,23,8d3094de,1776952756.7263532
5,Rita,NORTH,26,9666a52b,1776952756.7263532
5,Serana,WEST,24,21a1c6c8,1776952756.7990334
5,Ava,SOUTH,20,25102457,1776952756.7990334
5,Alyssa,EAST,23,8d3094de,1776952756.7990334
5,Rita,NORTH,26,9666a52b,1776952756.7990334
5,Serana,WEST,24,21a1c6c8,1776952756.874433
5,Ava,SOUTH,20,25102457,1776952756.874433
5,Alyssa,EAST,23,8d3094de,1776952756.874433
5,Rita,NORTH,26,9666a52b,1776952756.874433
5,Serana,WEST,24,21a1c6c8,1776952756.951705
5,Ava,SOUTH,20,25102457,1776952756.951705
5,Alyssa,EAST,23,8d3094de,1776952756.951705
5,Rita,NORTH,26,9666a52b,1776952756.951705
5,Serana,WEST,24,21a1c6c8,1776952757.0272558
5,Ava,SOUTH,20,25102457,1776952757.0272558
5,Alyssa,EAST,23,8d3094de,1776952757.0272558
5,Rita,NORTH,26,9666a52b,1776952757.0272558
5,Serana,WEST,24,21a1c6c8,1776952757.1064045
5,Ava,SOUTH,20,25102457,1776952757.1064045
5,Alyssa,EAST,23,8d3094de,1776952757.1064045
5,Rita,NORTH,26,9666a52b,1776952757.1064045
5,Serana,WEST,24,21a1c6c8,1776952757.182171
5,Ava,SOUTH,20,25102457,1776952757.182171
5,Alyssa,EAST,23,8d3094de,1776952757.182171
5,Rita,NORTH,26,9666a52b,1776952757.182171
5,Serana,WEST,24,21a1c6c8,1776952757.2584481
5,Ava,SOUTH,20,25102457,1776952757.2584481
5,Alyssa,EAST,23,8d3094de,1776952757.2584481
5,Rita,NORTH,26,9666a52b,1776952757.2584481
5,Serana,WEST,24,21a1c6c8,1776952757.3492193
5,Ava,SOUTH,20,25102457,1776952757.3492193
5,Alyssa,EAST,23,8d3094de,1776952757.3492193
5,Rita,NORTH,26,9666a52b,1776952757.3492193
5,Serana,WEST,24,21a1c6c8,1776952757.434509
5,Ava,SOUTH,20,25102457,1776952757.434509
5,Alyssa,EAST,23,8d3094de,1776952757.434509
5,Rita,NORTH,26,9666a52b,1776952757.434509
5,Serana,WEST,24,21a1c6c8,1776952757.5233011
5,Ava,SOUTH,20,25102457,1776952757.5233011
5,Alyssa,EAST,23,8d3094de,1776952757.5233011
5,Rita,NORTH,26,9666a52b,1776952757.5233011
5,Serana,WEST,24,21a1c6c8,1776952757.5992894
5,Ava,SOUTH,20,25102457,1776952757.5992894
5,Alyssa,EAST,23,8d3094de,1776952757.5992894
5,Rita,NORTH,26,9666a52b,1776952757.5992894
5,Serana,WEST,24,21a1c6c8,1776952757.673104
5,Ava,SOUTH,20,25102457,1776952757.673104
5,Alyssa,EAST,23,8d3094de,1776952757.673104
5,Rita,NORTH,26,9666a52b,1776952757.673104
5,Serana,WEST,24,21a1c6c8,1776952757.7487073
5,Ava,SOUTH,20,25102457,1776952757.7487073
5,Alyssa,EAST,23,8d3094de,1776952757.7487073
5,Rita,NORTH,26,9666a52b,1776952757.7487073
5,Serana,WEST,24,21a1c6c8,1776952757.8283432
5,Ava,SOUTH,20,25102457,1776952757.8283432
5,Alyssa,EAST,23,8d3094de,1776952757.8283432
5,Rita,NORTH,26,9666a52b,1776952757.8283432
5,Serana,WEST,24,21a1c6c8,1776952757.9012616
5,Ava,SOUTH,20,25102457,1776952757.9012616
5,Alyssa,EAST,23,8d3094de,1776952757.9012616
5,Rita,NORTH,26,9666a52b,1776952757.9012616
5,Serana,WEST,24,21a1c6c8,1776952757.9752948
5,Ava,SOUTH,20,25102457,1776952757.9752948
5,Alyssa,EAST,23,8d3094de,1776952757.9752948
5,Rita,NORTH,26,9666a52b,1776952757.9752948
5,Serana,WEST,24,21a1c6c8,1776952758.0516756
5,Ava,SOUTH,20,25102457,1776952758.0516756
5,Alyssa,EAST,23,8d3094de,1776952758.0516756
5,Rita,NORTH,26,9666a52b,1776952758.0516756
5,Serana,WEST,24,21a1c6c8,1776952758.133253
5,Ava,SOUTH,20,25102457,1776952758.133253
5,Alyssa,EAST,23,8d3094de,1776952758.133253
5,Rita,NORTH,26,9666a52b,1776952758.133253
5,Serana,WEST,24,21a1c6c8,1776952758.2234287
5,Ava,SOUTH,20,25102457,1776952758.2234287
5,Alyssa,EAST,23,8d3094de,1776952758.2234287
5,Rita,NORTH,26,9666a52b,1776952758.2234287
6,Rita,NORTH,6,9666a52b,1776952758.3896987
6,Serana,WEST,27,21a1c6c8,1776952758.3896987
6,Rita,NORTH,6,9666a52b,1776952758.4661927
6,Serana,WEST,27,21a1c6c8,1776952758.4661927
